Product category,Product,Region,Industry,Sales owner,Territory,Sales Opportunity
Computers,Tablets,North America,Major Banks,Alan Steiner,Canada,$13100
Computers,Tablets,North America,Medical/Dental Instruments,Eric Gruber,US-MIDWEST,$13100
Furniture,Stand-up Desks,North America,Major Chemicals,Molly Clark,Mexico,$13100
Furniture,Stand-up Desks,North America,Savings Institutions,Molly Clark,US-SOUTH,$13100
Software,Mobile app,North America,Computer Software: Prepackaged Software,Molly Clark,US-SOUTH,$13100
Computers,All-in-One,North America,Computer Software: Prepackaged Software,David So,US-SOUTH,$13000
Computers,Tablets,North America,Food Distributors,Spencer Low,US-SOUTH,$13000
Computers,All-in-One,EMEA,Life Insurance,Anne Weiler,United Kingdom,$12900
Computers,Tablets,North America,Electric Utilities: Central,Spencer Low,US-SOUTH,$12900
Electronics,Scanners,North America,Automotive Aftermarket,Alicia Thomber,US-WEST,$12900
Furniture,Stand-up Desks,North America,Property-Casualty Insurers,Molly Clark,Mexico,$12900
Furniture,Stand-up Desks,North America,Recreational Products/Toys,Alan Steiner,Canada,$12900
Software,Design app,North America,EDP Services,David So,US-SOUTH,$12900
Computers,Tablets,North America,Biotechnology: Commercial Physical & Biological Resarch,Alicia Thomber,US-WEST,$12800
Furniture,Stand-up Desks,North America,Automotive Aftermarket,Molly Clark,US-SOUTH,$12800
Computers,All-in-One,EMEA,,Anne Weiler,United Kingdom,$12700
Computers,All-in-One,North America,Air Freight/Delivery Services,Eric Gruber,US-MIDWEST,$12700
Computers,All-in-One,North America,Medical/Dental Instruments,Eric Gruber,US-MIDWEST,$12700
Computers,Desktops,North America,Air Freight/Delivery Services,Molly Clark,US-SOUTH,$12700
Electronics,Laser Printers,North America,Biotechnology: Commercial Physical & Biological Resarch,Alicia Thomber,US-WEST,$12700
Furniture,Ergonomic Seating,North America,Clothing/Shoe/Accessory Stores,Molly Clark,US-SOUTH,$12700
Furniture,Stand-up Desks,LATAM,Oil & Gas Production,Sanjay Shah,Panama,$12700
Software,Design app,North America,Diversified Commercial Services,Alan Steiner,Canada,$12700
Computers,All-in-One,EMEA,Real Estate Investment Trusts,Anne Weiler,France,$12600
Computers,All-in-One,North America,Diversified Commercial Services,Alicia Thomber,US-WEST,$12600
Furniture,Ergonomic Seating,North America,Major Chemicals,Molly Clark,US-SOUTH,$12600
Furniture,Stand-up Desks,North America,Biotechnology: Commercial Physical & Biological Resarch,Alan Steiner,Canada,$12600
Software,Design app,North America,Medical Specialities,David So,US-SOUTH,$12600
Furniture,Ergonomic Seating,North America,Biotechnology: Commercial Physical & Biological Resarch,Alicia Thomber,US-WEST,$12500
Furniture,Ergonomic Seating,North America,Oil/Gas Transmission,Molly Clark,US-SOUTH,$12500
Software,Design app,North America,Investment Managers,Jeff Hay,US-MIDWEST,$12500
Electronics,Laser Printers,North America,Major Banks,David So,US-SOUTH,$12400
Electronics,Laser Printers,North America,Major Pharmaceuticals,Molly Clark,US-WEST,$12300
Electronics,Laser Printers,North America,Packaged Foods,Jeff Hay,US-MIDWEST,$12300
Electronics,Scanners,North America,Air Freight/Delivery Services,Molly Clark,US-SOUTH,$12300
Computers,Desktops,North America,Automotive Aftermarket,Alicia Thomber,US-WEST,$12200
Electronics,Scanners,APAC,Major Pharmaceuticals,Renee Lo,China,$12200
Software,Design app,North America,Restaurants,David So,US-SOUTH,$12200
