Product category,Product,Region,Industry,Sales owner,Territory,Sales Opportunity
Computers,All-in-One,North America,Major Pharmaceuticals,Julian Isla,US-NORTHEAST,$3900
Computers,All-in-One,North America,Recreational Products/Toys,Molly Clark,US-WEST,$3900
Computers,Tablets,North America,Oil/Gas Transmission,Eric Gruber,US-MIDWEST,$3900
Electronics,Laser Printers,EMEA,,Anne Weiler,United Kingdom,$3900
Electronics,Laser Printers,EMEA,Packaged Foods,Anne Weiler,France,$3900
Electronics,Scanners,EMEA,Major Pharmaceuticals,Anne Weiler,United Kingdom,$3900
Electronics,Scanners,North America,Business Services,Molly Clark,US-SOUTH,$3900
Electronics,Scanners,North America,Industrial Machinery/Components,David So,US-SOUTH,$3900
Electronics,Webcams,North America,Real Estate,Alicia Thomber,US-WEST,$3900
Furniture,Ergonomic Seating,North America,Home Furnishings,Alicia Thomber,US-WEST,$3900
Software,Design app,North America,Major Chemicals,Jeff Hay,US-MIDWEST,$3900
Computers,All-in-One,North America,Specialty Foods,Julian Isla,US-NORTHEAST,$3800
Computers,Desktops,North America,Major Banks,Alan Steiner,Canada,$3800
Computers,Tablets,LATAM,Major Banks,Sanjay Shah,Peru,$3800
Computers,Tablets,North America,Savings Institutions,Spencer Low,US-SOUTH,$3800
Electronics,Laser Printers,EMEA,Integrated oil Companies,Anne Weiler,France,$3800
Electronics,Scanners,North America,Business Services,Molly Clark,US-WEST,$3800
Electronics,Scanners,North America,"Computer Software: Programming, Data Processing",Spencer Low,US-SOUTH,$3800
Electronics,Webcams,North America,Precious Metals,Julian Isla,US-NORTHEAST,$3800
Furniture,Ergonomic Seating,LATAM,Home Furnishings,Sanjay Shah,Colombia,$3800
Furniture,Ergonomic Seating,North America,Electric Utilities: Central,Julian Isla,US-NORTHEAST,$3800
Furniture,Ergonomic Seating,North America,Major Chemicals,Jeff Hay,US-MIDWEST,$3800
Computers,Desktops,North America,Computer Manufacturing,Eric Gruber,US-MIDWEST,$3700
Computers,Desktops,North America,,Alan Steiner,Canada,$3700
Computers,Tablets,LATAM,Oilfield Services/Equipment,Sanjay Shah,Costa Rica,$3700
Electronics,Laser Printers,North America,Food Distributors,Molly Clark,US-WEST,$3700
Electronics,Laser Printers,North America,Forest Products,Jeff Hay,US-MIDWEST,$3700
Electronics,Laser Printers,North America,Oil & Gas Production,Alicia Thomber,US-WEST,$3700
Electronics,Scanners,North America,Electric Utilities: Central,Spencer Low,US-SOUTH,$3700
Electronics,Scanners,North America,Major Chemicals,Molly Clark,US-WEST,$3700
Electronics,Scanners,North America,Recreational Products/Toys,Molly Clark,US-WEST,$3700
Furniture,Ergonomic Seating,EMEA,Major Chemicals,Anne Weiler,United Arab Emirates,$3700
Furniture,Ergonomic Seating,North America,Food Distributors,David So,US-SOUTH,$3700
Furniture,Ergonomic Seating,North America,,Alan Steiner,Canada,$3700
Computers,All-in-One,EMEA,Major Pharmaceuticals,Anne Weiler,Netherlands,$3600
Computers,All-in-One,EMEA,Major Pharmaceuticals,Anne Weiler,United Kingdom,$3600
Computers,All-in-One,North America,Savings Institutions,Spencer Low,US-SOUTH,$3600
Computers,Desktops,LATAM,,Sanjay Shah,Peru,$3600
Computers,Desktops,North America,"Computer Software: Programming, Data Processing",Spencer Low,US-SOUTH,$3600
Computers,Desktops,North America,Integrated oil Companies,Spencer Low,US-SOUTH,$3600
Computers,Desktops,North America,Property-Casualty Insurers,Alicia Thomber,US-WEST,$3600
Electronics,Laser Printers,LATAM,Home Furnishings,Sanjay Shah,Colombia,$3600
Electronics,Laser Printers,North America,Investment Managers,Molly Clark,US-WEST,$3600
Electronics,Laser Printers,North America,Major Chemicals,Jeff Hay,US-MIDWEST,$3600
Electronics,Laser Printers,North America,Savings Institutions,Molly Clark,US-SOUTH,$3600
Electronics,Scanners,North America,,Molly Clark,US-SOUTH,$3600
Electronics,Webcams,LATAM,Computer Software: Prepackaged Software,Greg Winston,Brazil,$3600
Electronics,Webcams,North America,Ordnance And Accessories,David So,US-SOUTH,$3600
Furniture,Ergonomic Seating,EMEA,Oil & Gas Production,Anne Weiler,United Kingdom,$3600
Furniture,Stand-up Desks,EMEA,Oil & Gas Production,Anne Weiler,United Kingdom,$3600
Furniture,Stand-up Desks,North America,Medical/Nursing Services,Alan Steiner,Canada,$3600
Furniture,Stand-up Desks,North America,Oilfield Services/Equipment,Molly Clark,Mexico,$3600
Computers,All-in-One,EMEA,Real Estate Investment Trusts,Anne Weiler,United Kingdom,$3500
Computers,All-in-One,North America,Computer Software: Prepackaged Software,Alicia Thomber,US-WEST,$3500
Computers,All-in-One,North America,Oil/Gas Transmission,Molly Clark,US-SOUTH,$3500
Computers,Desktops,LATAM,Restaurants,Greg Winston,Argentina,$3500
Computers,Desktops,North America,Hospital/Nursing Management,Molly Clark,Mexico,$3500
Computers,Desktops,North America,Medical Specialities,Alan Steiner,Canada,$3500
Computers,Desktops,North America,Real Estate Investment Trusts,David So,US-SOUTH,$3500
Computers,Tablets,EMEA,Oil & Gas Production,Anne Weiler,United Kingdom,$3500
Computers,Tablets,North America,Major Pharmaceuticals,Eric Gruber,US-MIDWEST,$3500
Computers,Tablets,North America,Packaged Foods,Alan Steiner,Canada,$3500
Electronics,Laser Printers,North America,Electric Utilities: Central,Spencer Low,US-SOUTH,$3500
Electronics,Laser Printers,North America,Oil/Gas Transmission,Molly Clark,US-WEST,$3500
Electronics,Scanners,EMEA,Recreational Products/Toys,Anne Weiler,France,$3500
Furniture,Ergonomic Seating,EMEA,Air Freight/Delivery Services,Anne Weiler,France,$3500
