Product category,Product,Region,Industry,Sales owner,Territory,Sales Opportunity
Software,Design app,North America,,Alicia Thomber,US-WEST,$264400
Software,Design app,North America,Industrial Machinery/Components,Spencer Low,US-SOUTH,$209600
Software,Design app,APAC,Major Pharmaceuticals,Renee Lo,China,$201700
Software,Design app,North America,Major Pharmaceuticals,Molly Clark,US-WEST,$200400
Software,Design app,North America,,Spencer Low,US-SOUTH,$192600
Software,Design app,North America,Home Furnishings,Julian Isla,US-NORTHEAST,$184200
Software,Design app,North America,,David So,US-SOUTH,$174200
Software,Design app,EMEA,Restaurants,Anne Weiler,France,$165800
Software,Design app,North America,Major Pharmaceuticals,Molly Clark,US-SOUTH,$152900
Software,Design app,North America,Major Pharmaceuticals,Julian Isla,US-NORTHEAST,$149500
Software,Design app,North America,Real Estate Investment Trusts,Molly Clark,US-SOUTH,$148400
Software,Design app,North America,,Jeff Hay,US-MIDWEST,$148300
Software,Design app,North America,Major Banks,Alicia Thomber,US-WEST,$139500
Software,Design app,North America,Business Services,Alicia Thomber,US-WEST,$138000
Software,Design app,North America,Diversified Commercial Services,Alicia Thomber,US-WEST,$126200
Software,Design app,North America,Property-Casualty Insurers,Molly Clark,US-WEST,$114600
Software,Design app,North America,Major Chemicals,Molly Clark,US-SOUTH,$109400
Software,Design app,North America,Real Estate Investment Trusts,Spencer Low,US-SOUTH,$108500
Software,Design app,North America,Real Estate,Alicia Thomber,US-WEST,$107000
Software,Design app,North America,,Eric Gruber,US-MIDWEST,$106200
Software,Design app,North America,Biotechnology: Commercial Physical & Biological Resarch,Alicia Thomber,US-WEST,$105900
Software,Design app,North America,Other Specialty Stores,Alicia Thomber,US-WEST,$105400
Software,Design app,North America,Integrated oil Companies,Spencer Low,US-SOUTH,$103700
Software,Design app,North America,Clothing/Shoe/Accessory Stores,Molly Clark,US-SOUTH,$102700
Software,Design app,North America,Food Distributors,Molly Clark,US-WEST,$102400
Software,Design app,North America,Computer Software: Prepackaged Software,Alicia Thomber,US-WEST,$101400
Software,Design app,APAC,,Renee Lo,New Zealand,$101200
Computers,All-in-One,North America,,Eric Gruber,US-MIDWEST,$100200
Software,Design app,North America,Forest Products,Julian Isla,US-NORTHEAST,$99700
Computers,Tablets,North America,,Jeff Hay,US-MIDWEST,$99200
Furniture,Stand-up Desks,North America,Industrial Machinery/Components,Spencer Low,US-SOUTH,$98200
Furniture,Stand-up Desks,North America,,Alicia Thomber,US-WEST,$97900
Computers,Tablets,North America,,David So,US-SOUTH,$95800
Software,Design app,North America,Business Services,Molly Clark,US-SOUTH,$95500
Software,Design app,North America,Oil & Gas Production,Molly Clark,US-SOUTH,$95400
Software,Design app,North America,Computer Software: Prepackaged Software,Molly Clark,US-WEST,$95300
Computers,All-in-One,LATAM,,Greg Winston,Chile,$92700
Software,Design app,North America,Real Estate,Molly Clark,US-SOUTH,$92000
Computers,Tablets,APAC,Major Pharmaceuticals,Renee Lo,China,$89800
Furniture,Stand-up Desks,EMEA,Restaurants,Anne Weiler,France,$89400
Software,Design app,North America,Oil/Gas Transmission,Molly Clark,US-WEST,$89100
Software,Design app,North America,Industrial Machinery/Components,Molly Clark,US-WEST,$86400
Software,Design app,LATAM,,Greg Winston,Chile,$83500
