Product category,Product,Region,Industry,Sales owner,Territory,Sales Opportunity
Software,Design app,North America,,Alan Steiner,Canada,$35800
Software,Mobile app,LATAM,,Greg Winston,Brazil,$35800
Software,Design app,APAC,Automotive Aftermarket,Renee Lo,Australia,$35700
Software,Design app,LATAM,"Computer Software: Programming, Data Processing",Greg Winston,Argentina,$35700
Computers,All-in-One,EMEA,Oilfield Services/Equipment,Anne Weiler,France,$35600
Furniture,Stand-up Desks,LATAM,,Greg Winston,Chile,$35500
Software,Mobile app,North America,Major Chemicals,Eric Gruber,US-MIDWEST,$35400
Computers,All-in-One,North America,,Alicia Thomber,US-WEST,$35300
Computers,All-in-One,North America,Real Estate Investment Trusts,Molly Clark,US-SOUTH,$35300
Computers,Tablets,EMEA,Real Estate Investment Trusts,Anne Weiler,France,$35100
Software,Design app,LATAM,Home Furnishings,Sanjay Shah,Colombia,$35000
Software,Design app,North America,Automotive Aftermarket,Molly Clark,US-SOUTH,$34900
Computers,Tablets,North America,Hospital/Nursing Management,David So,US-SOUTH,$34700
Computers,Tablets,LATAM,Major Pharmaceuticals,Greg Winston,Argentina,$34600
Computers,Tablets,North America,Real Estate,Molly Clark,US-SOUTH,$34300
Furniture,Stand-up Desks,North America,Industrial Machinery/Components,David So,US-SOUTH,$34300
Computers,Tablets,LATAM,Life Insurance,Greg Winston,Brazil,$34200
Software,Mobile app,LATAM,Computer Software: Prepackaged Software,Greg Winston,Brazil,$34000
Computers,All-in-One,North America,Forest Products,Julian Isla,US-NORTHEAST,$33900
Software,Design app,North America,Recreational Products/Toys,Alan Steiner,Canada,$33700
Computers,All-in-One,North America,Real Estate,Molly Clark,US-SOUTH,$33400
Software,Design app,LATAM,Telecommunications Equipment,Greg Winston,Chile,$33300
Furniture,Stand-up Desks,LATAM,Computer Software: Prepackaged Software,Greg Winston,Brazil,$33200
Software,Mobile app,North America,Computer Manufacturing,Eric Gruber,US-MIDWEST,$33100
Software,Design app,LATAM,Marine Transportation,Greg Winston,Brazil,$32900
Computers,Tablets,North America,Air Freight/Delivery Services,Molly Clark,US-SOUTH,$32800
Computers,Tablets,North America,Paper,Eric Gruber,US-MIDWEST,$32700
Computers,Desktops,North America,,David So,US-SOUTH,$32600
Computers,Tablets,North America,Industrial Machinery/Components,David So,US-SOUTH,$32600
Computers,Tablets,North America,Computer Software: Prepackaged Software,David So,US-SOUTH,$32500
Software,Mobile app,North America,Property-Casualty Insurers,Molly Clark,US-WEST,$32500
Furniture,Stand-up Desks,North America,,Molly Clark,US-SOUTH,$32300
Furniture,Ergonomic Seating,North America,,Spencer Low,US-SOUTH,$32200
Furniture,Stand-up Desks,North America,Savings Institutions,Spencer Low,US-SOUTH,$32000
Software,Design app,North America,Food Distributors,Alicia Thomber,US-WEST,$31800
Software,Mobile app,LATAM,Business Services,Greg Winston,Argentina,$31600
Software,Mobile app,North America,Real Estate,Molly Clark,US-SOUTH,$31600
Computers,Tablets,North America,Property-Casualty Insurers,Molly Clark,US-WEST,$31500
Computers,Tablets,North America,Marine Transportation,David So,US-SOUTH,$31400
Software,Mobile app,LATAM,Marine Transportation,Greg Winston,Brazil,$31300
Software,Mobile app,North America,,Alan Steiner,Canada,$31300
Software,Mobile app,North America,Oil & Gas Production,Eric Gruber,US-MIDWEST,$31200
Software,Design app,North America,Major Pharmaceuticals,Eric Gruber,US-MIDWEST,$31100
Computers,All-in-One,LATAM,,Greg Winston,Brazil,$31000
Computers,Tablets,North America,Oil/Gas Transmission,Molly Clark,US-WEST,$31000
Furniture,Stand-up Desks,APAC,,Renee Lo,New Zealand,$30900
Software,Design app,North America,Savings Institutions,Alicia Thomber,US-WEST,$30900
Computers,All-in-One,North America,,Alan Steiner,Canada,$30800
Computers,Tablets,LATAM,,Greg Winston,Chile,$30800
Software,Design app,North America,Marine Transportation,Molly Clark,US-SOUTH,$30800
Software,Mobile app,LATAM,Restaurants,Greg Winston,Argentina,$30700
Computers,All-in-One,LATAM,Major Pharmaceuticals,Greg Winston,Brazil,$30600
Computers,All-in-One,North America,Paper,Eric Gruber,US-MIDWEST,$30500
Software,Design app,North America,Transportation Services,Julian Isla,US-NORTHEAST,$30500
