Status,Purchase Process,Sales owner,Industry,Product,Value,Manager,Product category,Campaign Name,Discount
Won,Individual,Anne Weiler,Real Estate Investment Trusts,Design app,$2700,"Weiler, Anne",Software,Consumer Tradeshow,4.7%
Won,Individual,Anne Weiler,Real Estate Investment Trusts,Design app,$17300,"Weiler, Anne",Software,Customer Follow-up,5.7%
Won,Individual,Anne Weiler,Real Estate Investment Trusts,Desktops,$6300,"Weiler, Anne",Computers,,3.7%
Won,Individual,Anne Weiler,Real Estate Investment Trusts,Ergonomic Seating,$3500,"Weiler, Anne",Furniture,Consumer Tradeshow,5.2%
Won,Individual,Anne Weiler,Real Estate Investment Trusts,Ergonomic Seating,$600,"Weiler, Anne",Furniture,New Product Releases,5.2%
Won,Individual,Anne Weiler,Real Estate Investment Trusts,Laser Printers,$1300,"Weiler, Anne",Electronics,,2.2%
Won,Individual,Anne Weiler,Real Estate Investment Trusts,Laser Printers,$1400,"Weiler, Anne",Electronics,Customer Care Campaign,4.7%
Won,Individual,Anne Weiler,Real Estate Investment Trusts,Mobile app,$8800,"Weiler, Anne",Software,,1.2%
Won,Individual,Anne Weiler,Real Estate Investment Trusts,Mobile app,$2600,"Weiler, Anne",Software,Customer Care Campaign,3.7%
Won,Individual,Anne Weiler,Real Estate Investment Trusts,Stand-up Desks,$4600,"Weiler, Anne",Furniture,,3.2%
Won,Individual,Anne Weiler,Real Estate Investment Trusts,Stand-up Desks,$11000,"Weiler, Anne",Furniture,New Product Releases,4.7%
Won,Individual,Anne Weiler,Real Estate Investment Trusts,Tablets,$9300,"Weiler, Anne",Computers,,6.2%
Won,Individual,Anne Weiler,Real Estate Investment Trusts,Webcams,$1800,"Weiler, Anne",Electronics,,3.2%
Won,Individual,Anne Weiler,Real Estate Investment Trusts,Webcams,$500,"Weiler, Anne",Electronics,New Product Releases,4.7%
Won,Individual,Anne Weiler,Recreational Products/Toys,All-in-One,$12900,"Weiler, Anne",Computers,,1.5%
Won,Individual,Anne Weiler,Recreational Products/Toys,Design app,$15000,"Weiler, Anne",Software,,3.5%
Won,Individual,Anne Weiler,Recreational Products/Toys,Design app,$6000,"Weiler, Anne",Software,Customer Follow-up,6.0%
Won,Individual,Anne Weiler,Recreational Products/Toys,Design app,$5800,"Weiler, Anne",Software,Monthly Newsletter,4.0%
Won,Individual,Anne Weiler,Recreational Products/Toys,Desktops,$3200,"Weiler, Anne",Computers,,4.0%
Won,Individual,Anne Weiler,Recreational Products/Toys,Desktops,$1000,"Weiler, Anne",Computers,Twitter,4.5%
Won,Individual,Anne Weiler,Recreational Products/Toys,Ergonomic Seating,$5000,"Weiler, Anne",Furniture,,4.0%
Won,Individual,Anne Weiler,Recreational Products/Toys,Ergonomic Seating,$3000,"Weiler, Anne",Furniture,New Product Releases,5.5%
Won,Individual,Anne Weiler,Recreational Products/Toys,Laser Printers,$5300,"Weiler, Anne",Electronics,,2.5%
Won,Individual,Anne Weiler,Recreational Products/Toys,Mobile app,$3400,"Weiler, Anne",Software,,1.5%
Won,Individual,Anne Weiler,Recreational Products/Toys,Mobile app,$3100,"Weiler, Anne",Software,Customer Care Campaign,4.0%
Won,Individual,Anne Weiler,Recreational Products/Toys,Stand-up Desks,$7900,"Weiler, Anne",Furniture,,3.5%
Won,Individual,Anne Weiler,Recreational Products/Toys,Stand-up Desks,$17300,"Weiler, Anne",Furniture,New Product Releases,5.0%
Won,Individual,Anne Weiler,Recreational Products/Toys,Tablets,$11100,"Weiler, Anne",Computers,,6.5%
Won,Individual,Anne Weiler,Recreational Products/Toys,Webcams,$600,"Weiler, Anne",Electronics,,3.5%
